CDR,Exudate_Pixel,Label
0.9592,12264,0
0.36,16108,0
0.4502,16897,0
0.4214,8382,0
0.3284,16966,0
0.5398,8740,0
0.6574,10403,0
1.0563,10837,0
0.7487,16787,0
0.3889,16522,0
0.7845,11207,0
0.7656,10695,0
0.4127,16009,0
0.7571,14961,0
0.6149,16462,0
0.5745,16172,0
0.8646,15510,0
0.5026,14765,0
0.3725,14743,0
0.4161,14829,0
1.0805,10548,0
0.3306,13730,0
0.7415,11439,0
1.0902,12218,0
0.5505,9828,0
0.9173,14120,0
0.25,16545,0
0.3853,7866,0
0.2732,13322,0
0.7071,6368,0
0.2988,15940,0
0.25,16316,0
1.0265,9925,0
0.3403,14465,0
0.7949,12089,0
0.9246,14401,0
0.9795,16633,0
0.7928,9804,0
1,10959,0
0.2659,14656,0
0.5937,15938,0
1.0916,15519,0
0.4912,15133,0
0.4916,12974,0
0.964,15372,0
0.36,15157,0
0.3281,14609,0
0.2737,14575,0
0.8457,15377,0
0.728,15661,0
0.425,17753,0
0.6915,17673,0
0.3572,18181,0
0.6421,18299,0
0.6156,15547,0
0.6813,13054,0
0.7311,11283,0
0.8804,15459,0
0.8573,15966,0
0.702,10842,0
0.7845,11454,0
0.5661,15186,0
0.2605,15788,0
0.5086,14400,0
0.6858,9082,0
0.7715,13283,0
0.6296,14772,0
0.7459,13166,0
0.4511,13422,0
0.7287,14372,0
0.8988,12874,0
0.471,12654,0
0.9467,13940,0
0.9025,7693,0
0.942,14612,0
0.7422,12363,0
0.5228,12407,0
0.8743,16084,0
0.3923,10815,0
0.4444,13018,0
0.5962,14390,0
0.6694,12024,0
0.6049,12220,0
0.6806,3378,0
0.8659,12388,0
0.7816,12825,0
0.8198,12506,0
0.4347,13844,0
0.7772,8462,0
0.7932,9924,0
0.6639,15112,0
0.6631,18693,0
0.6496,13276,0
0.6655,14239,0
0.3086,12593,0
0.822,14421,0
0.5289,11782,0
0.969,13654,0
0.6504,11822,0
1.0325,12247,0
0.8807,11332,0
0.702,13990,0
1.0851,13627,0
0.6354,6274,0
1,12611,0
0.8975,4935,0
0.3844,13662,0
0.4952,11873,0
0.8711,13489,0
0.5133,11751,0
0.7459,13386,0
0.4994,9520,0
0.6109,14932,0
0.4832,13903,0
0.9053,10306,0
0.5625,14697,0
0.8646,3043,0
1.0268,13025,0
0.5407,13866,0
0.8289,13484,0
0.8659,12574,0
0.8831,6962,0
0.7209,11248,0
0.81,12261,0
0.9056,12815,0
0.481,4785,0
0.9669,13563,0
0.6865,13421,0
0.2096,9933,0
0.5871,14429,0
0.6442,13584,0
0.4313,12145,0
0.6824,10545,0
0.7723,12974,0
0.8074,12395,0
0.9355,12437,0
0.3974,12054,0
0.481,4785,0
0.7594,11853,0
1,13249,0
0.7732,11814,0
0.5687,12180,0
1,12909,0
0.7622,12425,0
0.7077,13191,0
0.5472,11711,0
0.6728,13952,0
0.822,13292,0
0.7715,13954,0
0.5871,13831,0
0.8807,12666,0
0.8483,13340,0
0.6732,13783,0
0.3033,12253,0
0.8499,12143,0
0.7991,12540,0
0.7901,3373,0
0.3765,10452,0
0.5805,12814,0
0.394,13309,0
1.0902,12983,0
0.9716,12370,0
0.8583,12796,0
0.3546,10711,0
1,13523,0
0.5017,12488,0
0.4506,12357,0
0.9646,13484,0
0.5043,12679,0
0.8563,12342,0
0.7381,12677,0
1.0348,11960,0
0.5562,11456,0
0.7385,11597,0
0.95,13761,0
0.7347,12364,0
0.8336,6616,0
0.9755,12284,0
0.9344,12664,0
0.8573,13160,0
0.8424,11299,0
0.739,9879,0
0.4307,12655,0
0.702,13373,0
0.508,13105,0
0.9246,13875,0
0.1961,10571,0
0.5177,12314,0
1.0519,6307,0
0.7141,13515,0
0.3726,12040,0
0.2554,11157,0
0.6504,11665,0
0.49,13226,0
0.7282,13382,0
0.8711,12355,0
0.4444,13493,0
0.5625,12579,0
1.0879,13857,0
0.9375,11772,0
0.7656,13490,0
0.3686,13299,0
0.3564,11781,0
0.7347,12364,0
0.4997,4160,0
0.95,13761,0
0.964,6967,0
0.9298,11807,0
0.3478,13292,0
0.3641,11260,0
0.5529,16355,0
0.2545,15008,0
0.7672,18190,0
0.4702,11707,0
0.5102,12620,0
0.7199,12832,0
0.8603,15907,0
0.6453,11454,0
0.4617,13801,0
0.5988,12539,0
0.6694,7892,0
0.4344,17529,0
0.5354,13783,0
0.8336,16586,0
0.877,11329,0
1,16447,0
0.6872,13358,0
0.4858,11639,0
0.5184,16447,0
0.2392,20565,0
0.8114,16301,0
0.8646,11514,0
